"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000117519",4483.62709360346,-2.42271923981601,0.0600016218982969,-40.3775625252686,0,0,"CNN3","1266","calponin 3"
"ENSG00000183508",2053.88135557663,3.20195534795427,0.072417201475762,44.2153974843389,0,0,"TENT5C","54855","terminal nucleotidyltransferase 5C"
"ENSG00000159176",5692.46278267679,-2.31373756503587,0.0575533663106386,-40.201602675119,0,0,"CSRP1","1465","cysteine and glycine rich protein 1"
"ENSG00000150938",7442.98631416393,-2.05963137024161,0.0538449075112118,-38.2511822462087,0,0,"CRIM1","51232","cysteine rich transmembrane BMP regulator 1"
"ENSG00000116016",4423.94665216876,-1.8880193725334,0.0431679917758761,-43.7365579185571,0,0,"EPAS1","2034","endothelial PAS domain protein 1"
"ENSG00000136068",3796.1265394147,-1.64979200672636,0.0439354370533342,-37.550372031662,0,0,"FLNB","2317","filamin B"
"ENSG00000164251",2348.7701339719,3.3445083321361,0.0690717572655217,48.4207795565318,0,0,"F2RL1","2150","F2R like trypsin receptor 1"
"ENSG00000124766",2576.65254960143,2.39228794576996,0.0617086151812966,38.7674871448913,0,0,"SOX4","6659","SRY-box transcription factor 4"
"ENSG00000124762",28106.1191885778,1.83225777686375,0.0388966414279916,47.1058093860304,0,0,"CDKN1A","1026","cyclin dependent kinase inhibitor 1A"
"ENSG00000106366",43719.1260988373,-1.84404649934342,0.0419164996609003,-43.9933323216763,0,0,"SERPINE1","5054","serpin family E member 1"
"ENSG00000188153",2944.12640623352,2.26608046261254,0.0552681287922033,41.0015774395499,0,0,"COL4A5","1287","collagen type IV alpha 5 chain"
"ENSG00000122861",28007.1433373973,2.26252546550257,0.0552183311595227,40.9741732137153,0,0,"PLAU","5328","plasminogen activator, urokinase"
"ENSG00000148773",1840.19727265675,-3.19605832567065,0.0757850351652739,-42.1726838115283,0,0,"MKI67","4288","marker of proliferation Ki-67"
"ENSG00000059804",3443.39680712992,2.07976295761976,0.0543254349135801,38.2834110933159,0,0,"SLC2A3","6515","solute carrier family 2 member 3"
"ENSG00000123416",4420.07398793879,-1.93841810360098,0.0505768630461241,-38.3261828997426,0,0,"TUBA1B","10376","tubulin alpha 1b"
"ENSG00000139289",12942.9106281238,2.03736205042695,0.0462973434178546,44.0060249686214,0,0,"PHLDA1","22822","pleckstrin homology like domain family A member 1"
"ENSG00000125257",6050.78726438958,1.95054949491349,0.0435953844406005,44.7421102013941,0,0,"ABCC4","10257","ATP binding cassette subfamily C member 4"
"ENSG00000211448",1884.75741158654,2.52372169452888,0.0653981298931716,38.5901202167616,0,0,"DIO2","1734","iodothyronine deiodinase 2"
"ENSG00000128917",1307.34250385583,3.8582531145741,0.0865185432075128,44.5945224172368,0,0,"DLL4","54567","delta like canonical Notch ligand 4"
"ENSG00000138623",2851.61916336974,-2.40668774845908,0.0581377318678346,-41.3963130507093,0,0,"SEMA7A","8482","semaphorin 7A (John Milton Hagen blood group)"
"ENSG00000131747",1743.84285765667,-2.92418912756521,0.0696221034544569,-42.000873034209,0,0,"TOP2A","7153","DNA topoisomerase II alpha"
"ENSG00000167601",8245.06804500101,-2.14234576630772,0.0404435485638548,-52.9712609892588,0,0,"AXL","558","AXL receptor tyrosine kinase"
"ENSG00000198743",1999.10327890814,2.53453041313559,0.0670975518001114,37.7738135764795,0,0,"SLC5A3","6526","solute carrier family 5 member 3"
"ENSG00000074800",18390.4756149844,-1.33893117834409,0.0358590275895697,-37.3387475441063,3.86082290619344e-305,2.37086699964495e-302,"ENO1","2023","enolase 1"
"ENSG00000181104",14922.5173336984,1.66815955567935,0.0447581299294298,37.2705374042557,4.9267324572751e-304,2.90440731821282e-301,"F2R","2149","coagulation factor II thrombin receptor"
